ID,Season,Month,Nature,time,Latitude,Longitude,Wind.kt
ABLE.1950,1950,August,TS,(50-08-12 00:00:00),17.1,-55.5,35
ABLE.1950,1950,August,TS,(50-08-12 06:00:00),17.7,-56.3,40
ABLE.1950,1950,August,TS,(50-08-12 12:00:00),18.2,-57.4,45
ABLE.1950,1950,August,TS,(50-08-12 18:00:00),19,-58.6,50
ABLE.1950,1950,August,TS,(50-08-13 00:00:00),20,-60,50
ABLE.1950,1950,August,TS,(50-08-13 06:00:00),20.7,-61.1,50
ABLE.1950,1950,August,TS,(50-08-13 12:00:00),21.3,-62.2,55
ABLE.1950,1950,August,TS,(50-08-13 18:00:00),22,-63.2,55
ABLE.1950,1950,August,TS,(50-08-14 00:00:00),22.7,-63.8,60
ABLE.1950,1950,August,TS,(50-08-14 06:00:00),23.1,-64.6,60
ABLE.1950,1950,August,TS,(50-08-14 12:00:00),23.4,-65.4,60
ABLE.1950,1950,August,TS,(50-08-14 18:00:00),23.9,-66,65
ABLE.1950,1950,August,TS,(50-08-15 00:00:00),24.4,-66.2,65
ABLE.1950,1950,August,TS,(50-08-15 06:00:00),24.8,-66.5,65
ABLE.1950,1950,August,TS,(50-08-15 12:00:00),25.2,-66.8,70
ABLE.1950,1950,August,TS,(50-08-15 18:00:00),25.5,-67.5,75
ABLE.1950,1950,August,TS,(50-08-16 00:00:00),25.7,-68.1,80
ABLE.1950,1950,August,TS,(50-08-16 06:00:00),25.7,-68.7,80
ABLE.1950,1950,August,TS,(50-08-16 12:00:00),25.5,-69.3,80
ABLE.1950,1950,August,TS,(50-08-16 18:00:00),25.4,-69.8,85
ABLE.1950,1950,August,TS,(50-08-17 00:00:00),25.4,-70.6,90
ABLE.1950,1950,August,TS,(50-08-17 06:00:00),25.4,-71.5,95
ABLE.1950,1950,August,TS,(50-08-17 12:00:00),25.5,-72.6,100
ABLE.1950,1950,August,TS,(50-08-17 18:00:00),25.9,-73.3,100
ABLE.1950,1950,August,TS,(50-08-18 00:00:00),26.7,-73.9,100
ABLE.1950,1950,August,TS,(50-08-18 06:00:00),27.3,-74.4,100
ABLE.1950,1950,August,TS,(50-08-18 12:00:00),27.9,-74.9,100
ABLE.1950,1950,August,TS,(50-08-18 18:00:00),28.4,-75.3,105
ABLE.1950,1950,August,TS,(50-08-19 00:00:00),29.1,-75.5,105
ABLE.1950,1950,August,TS,(50-08-19 06:00:00),29.9,-75.5,105
ABLE.1950,1950,August,TS,(50-08-19 12:00:00),30.7,-75.5,105
ABLE.1950,1950,August,TS,(50-08-19 18:00:00),31.7,-75.5,110
ABLE.1950,1950,August,TS,(50-08-20 00:00:00),32.8,-75.2,110
ABLE.1950,1950,August,TS,(50-08-20 06:00:00),34.4,-74.3,105
ABLE.1950,1950,August,TS,(50-08-20 12:00:00),36,-72.7,100
ABLE.1950,1950,August,TS,(50-08-20 18:00:00),37.6,-71,90
ABLE.1950,1950,August,TS,(50-08-21 00:00:00),39.3,-69.4,80
ABLE.1950,1950,August,TS,(50-08-21 06:00:00),41.2,-67.3,70
ABLE.1950,1950,August,TS,(50-08-21 12:00:00),43.3,-65,65
